Canonical_SMILES,Device_tier,Train/Valid/Test,CN,predicted,glob_vector
CCCCCCCCCCCCCCCCCC(=O)OCCCC,1,Train,80.1,84.80576,5.251269 22.838778 -13.289379 -5.748856 4.629389 2.723487 -26.755735 -3.524791 16.012184 -0.921403 4.556105 8.928624 7.710863 -3.475490 -1.701435 15.135581 11.660463 8.342237 11.501713 -6.060575 16.049177 4.064332 4.425917 10.018443 -2.515346 -6.720836 1.975554 1.480519 8.305269 -19.919588 4.161848 -0.972288 -7.432200 -12.495634 -7.782089 3.514117 6.397997 4.067813 2.296467 -12.303250 12.635799 7.190915 -8.365846 5.514485 11.611910 -1.841621 7.215021 -13.546464 -1.871286 -24.353403 5.685565 10.606996 -16.159130 -11.735641 8.737000 -5.702865 -2.215064 -12.546144 16.035107 -6.882634 -0.660856 -4.225970 12.309828 3.975225
C1CCC=CC1,1,Train,18.1,17.07862,0.996801 4.508008 -2.592720 -1.273997 0.875330 0.473954 -5.212883 -0.839437 3.222879 -0.198392 0.832403 1.629461 1.023212 -0.710313 -0.594589 2.951691 2.544923 1.634374 2.292923 -1.434657 3.230941 0.766268 0.906805 1.916605 -0.381895 -1.465391 0.080442 0.290143 1.582138 -4.102290 0.913376 -0.275322 -1.234933 -2.804886 -1.833470 0.475526 1.638076 0.952177 0.499057 -2.596919 2.311654 1.720950 -1.767513 0.844775 2.349061 -0.273697 1.190408 -2.811740 -0.230433 -5.040131 0.746731 1.927266 -3.168529 -2.414960 1.802157 -1.473504 -0.342057 -2.427719 3.352205 -1.471804 0.029718 -1.034299 2.029157 0.789315
CCC(C)O,1,Train,8.32,8.216445,0.532685 2.734737 -0.581023 -0.402999 0.661757 -0.135783 -2.706587 -0.324184 1.677670 0.209603 0.770925 1.553796 0.608496 -0.244917 -0.643367 1.555084 1.321119 0.547104 1.305745 -0.701245 1.313681 0.270286 -0.280886 0.705416 0.102710 -0.801645 0.164086 0.550545 0.755406 -1.816702 0.241772 0.015427 -0.666438 -1.356078 -1.128619 0.696366 1.114804 0.281280 0.832431 -0.806368 1.207985 1.173343 -1.520380 0.661179 1.571741 0.073457 0.581482 -0.929093 -0.174139 -2.637655 0.157117 0.610697 -1.366761 -0.945063 0.753923 -0.844347 0.347543 -1.044426 0.978948 -0.500665 -0.035367 -0.510148 1.284206 0.449556
CCCCC(CCCC)C(CCCC)CCCC,1,Train,29.875,29.096533,1.536607 7.136590 -4.639995 -2.335180 1.285143 0.674037 -8.491056 -2.299643 5.408726 -0.227333 1.209274 2.934175 1.741944 -1.504771 -0.697154 4.743504 4.078082 2.666875 3.198872 -2.296373 5.699812 0.686404 1.323444 2.675687 -0.862187 -2.658060 -0.174055 0.796588 2.618682 -6.497006 1.462535 -0.302260 -2.786266 -4.580684 -2.211073 0.666621 2.400310 1.837962 0.640584 -5.069193 3.998350 2.610044 -2.801724 1.162263 3.677369 -0.545424 2.483913 -5.067602 -0.304535 -8.207607 1.336043 3.401391 -5.381205 -4.170062 3.119917 -2.443848 -0.646139 -3.964639 5.722223 -2.767129 -0.411255 -1.870820 3.791449 1.452419
CCCCCCCCOC(C)C(=O)OC,1,Train,59.4,59.167576,2.682478 15.898763 -8.827677 -5.065717 3.351985 1.429524 -18.766514 -1.902868 10.550798 -0.731613 2.960670 5.707299 4.079908 -1.839185 -0.379285 9.999663 8.930691 5.843786 8.451293 -4.884287 11.447206 4.474442 2.706211 6.498869 -0.947806 -4.804316 1.508994 1.476853 5.349733 -13.525753 2.985947 -1.627093 -4.548584 -7.979985 -5.421882 2.128545 4.829270 2.922390 0.441860 -8.790018 8.819250 5.817618 -4.599262 2.320637 8.016450 -0.991135 5.442131 -8.028917 -0.971759 -16.988947 3.107630 7.660839 -11.178753 -8.553366 6.230944 -4.601679 -1.330426 -8.225612 11.435490 -4.941427 0.203995 -3.086899 8.672533 3.370055
CCCCCCCCCCCCCCC1=CC=CC=C1,1,Train,72,71.847755,4.643526 18.186165 -10.607357 -6.385736 3.984579 2.161666 -21.986067 -3.526057 12.695206 -0.758557 3.976102 6.628382 4.641738 -3.119233 -1.701856 12.903724 10.556644 7.315439 9.394262 -6.195606 13.852757 2.912863 3.492135 7.819072 -2.141237 -6.153962 1.425283 2.034249 5.730368 -17.041227 3.050431 -1.724166 -6.832361 -9.865920 -5.990118 2.351132 5.742555 3.224645 0.995621 -10.674708 10.397168 6.785050 -6.399389 3.482731 9.509009 -1.068509 5.831256 -11.551212 -0.596622 -20.419027 4.697891 8.949499 -13.188493 -10.338310 6.997476 -6.036284 -1.810102 -9.607367 13.846730 -6.845184 -0.326986 -4.175686 10.045598 3.063987
CCCC(C)C,1,Train,34.5,35.92407,1.749300 8.932945 -5.830660 -3.242757 1.992534 0.935864 -10.925566 -2.207371 6.521792 -0.596002 1.690066 3.220832 1.926664 -1.543941 -0.796112 6.757935 5.295505 3.072218 4.305306 -3.136696 6.995005 1.736005 1.373846 3.920647 -0.826030 -3.048885 0.247172 1.423993 3.146965 -7.977701 1.183317 -0.476621 -3.146078 -5.572019 -2.368198 1.469917 3.181720 1.822133 0.576870 -5.983406 4.912653 3.630859 -3.766298 1.496050 4.811714 -0.532039 2.802529 -5.540597 -0.113816 -10.297329 2.044214 4.026210 -6.733498 -5.502546 3.681655 -3.044165 -1.093544 -4.433423 7.207992 -3.172242 -0.790094 -2.163696 5.142630 1.750735
C1CCOC1,1,Train,21.9,21.575811,1.137299 5.944014 -3.198530 -1.775003 1.029085 0.688168 -6.792216 -0.326558 3.814387 -0.253668 1.645392 2.260316 1.878367 -0.480932 -0.453114 4.191290 3.422029 2.026941 3.164514 -1.738177 4.271370 1.200732 0.837205 2.697187 -0.398950 -1.529409 0.510437 0.776200 1.848309 -4.770823 0.869305 -0.459933 -1.765021 -3.149967 -2.357811 1.223888 1.924337 1.093281 0.550177 -3.092734 3.322915 2.420849 -2.334964 1.059808 3.078479 -0.292303 1.650994 -3.159888 -0.050574 -6.194267 1.503665 2.171572 -3.928934 -3.000865 2.042706 -1.679425 -0.503124 -3.122508 4.142733 -1.560853 -0.000382 -1.349693 2.828688 0.616324
COc1ccccc1,1,Train,6.2,5.952137,0.297395 2.443781 -1.300710 -0.222946 0.281806 0.028521 -1.886849 -0.742670 0.909577 0.233878 0.926707 1.175695 0.670615 0.539421 -0.357818 0.627366 0.840331 0.596802 0.568065 -0.641132 1.673889 0.203587 -0.320687 0.370849 -0.211157 -0.431984 0.281585 0.491914 0.270997 -1.160128 -0.169903 0.251045 -0.565192 -0.471666 -0.599033 0.425126 0.189743 0.193721 0.910603 -0.975627 0.761781 0.574760 -0.924661 -0.063779 1.300507 0.203434 0.293218 -0.542330 0.099812 -1.511725 0.254901 0.441060 -1.021123 -0.074458 0.797408 -0.851085 0.267399 -1.006251 0.985855 -0.580570 -0.469955 -0.497349 0.651244 -0.114562
CCCCCCCCCCCCCCCC,1,Train,100,98.50859,6.277164 24.945839 -14.590841 -8.564964 5.507746 3.000398 -30.113949 -5.105489 17.313143 -0.709939 5.313662 8.639471 6.959692 -4.216497 -2.310049 17.148096 14.474743 9.977670 12.600968 -8.240645 19.076574 4.159657 4.702128 10.447417 -3.120160 -8.497581 1.630863 1.909662 7.814994 -23.418192 4.495766 -2.200963 -9.681038 -13.586219 -8.536769 3.039793 7.642861 4.446474 1.801799 -14.687181 14.401490 8.998795 -8.573417 5.140839 12.804036 -1.246678 8.133064 -15.997604 -1.050616 -27.656816 6.363541 12.966204 -18.042480 -13.945438 9.905460 -7.899817 -2.347333 -13.864371 18.624437 -9.354834 -0.314519 -5.369434 14.002165 4.564060
CCCCCCCCCC1=CC=CC=C1,1,Train,50,49.99712,3.067179 12.532982 -7.640164 -4.618581 2.652453 1.455044 -15.102912 -2.385556 8.606066 -0.500459 2.703845 4.492121 3.113347 -2.099319 -0.966921 8.974133 7.303429 4.953051 6.485262 -4.338903 9.772558 1.874652 2.456628 5.388853 -1.476318 -4.419738 0.855273 1.594322 3.890744 -11.635821 2.072599 -1.086464 -4.880145 -6.762977 -4.163918 1.616115 3.978782 2.459527 0.739173 -7.697867 7.254855 4.805645 -4.513659 2.194334 6.559453 -0.743744 3.960584 -8.022940 -0.303375 -14.129930 3.353414 6.056080 -9.171803 -7.238379 4.867128 -4.267323 -1.189347 -6.506350 9.779823 -4.789181 -0.301046 -3.076509 6.838406 1.844359
CCCCCCOC(=O)CCC.CCCCCCOC(=O)CCC,1,Train,29,27.487198,0.320406 6.801595 -5.712448 -0.792272 -0.746722 0.058639 -8.407470 -0.349592 4.181031 0.993472 -0.375601 4.463591 2.977598 0.141300 1.484042 2.195642 4.594532 3.783214 2.601577 -1.715340 6.862801 1.225990 0.961306 1.750910 -0.703370 -3.185306 0.105455 1.290623 1.743227 -5.624130 2.459100 0.804146 -3.500317 -3.259838 0.159957 -0.784945 -0.124993 2.404370 1.914880 -5.416382 4.601002 2.944304 -2.190426 0.105006 3.950111 0.078289 3.174425 -2.150244 -1.784242 -6.571970 3.027564 5.013860 -4.328007 -3.446815 2.778600 -1.573635 -0.677599 -5.233485 5.357317 -3.714297 -1.420421 -1.980616 4.032951 2.080052
CC(C)CO,1,Train,8.5,8.456603,0.434230 2.797219 -0.562270 -0.377532 0.695710 -0.141968 -2.786634 -0.328969 1.622091 0.223299 0.836652 1.638845 0.654383 -0.343962 -0.687851 1.550523 1.230595 0.573011 1.343676 -0.717825 1.344742 0.248558 -0.202438 0.779901 0.040309 -0.789710 0.127170 0.482520 0.786153 -1.737991 0.259888 0.041923 -0.638668 -1.331551 -1.151582 0.702939 1.080869 0.369490 0.882866 -0.877367 1.179894 1.165736 -1.651368 0.668235 1.607080 0.051127 0.573436 -0.979845 -0.201421 -2.799132 0.118155 0.670034 -1.413663 -0.929164 0.727262 -0.825703 0.346403 -1.134457 1.054301 -0.470024 -0.046394 -0.472214 1.366989 0.531477
CCOCOCC,1,Train,57.3,62.023537,3.938689 16.588530 -9.436846 -5.112904 3.091703 1.445154 -19.379869 -2.921588 11.449576 -0.733147 3.120176 6.554409 4.836994 -2.420025 -0.867090 10.893879 8.503580 5.909087 7.903171 -4.381663 12.200032 3.566081 2.825198 7.464107 -1.915795 -5.134534 1.863916 1.204867 6.257147 -14.424055 3.123995 -1.143461 -5.449006 -8.695581 -5.257946 2.848380 4.797503 2.492192 1.386353 -8.799650 9.360931 4.980905 -5.717670 3.325038 9.235110 -1.293462 5.560802 -10.091368 -1.032123 -17.213707 3.864459 7.747812 -11.934142 -8.073211 6.183683 -4.131365 -1.571267 -8.850073 11.641785 -5.108612 -0.596545 -3.233466 9.034901 3.173563
